k,a_k_exact,e_k_exact,L_k_exact
0,1,0,0
1,166/3,0,0
2,874357/180,0,0
3,803222513/3375,574/375,574/375
4,461785319813/36000,1041564221/810000,972959741/810000
5,6813675679442473/12150000,1012441365667/1620000,2678166036893/4860000
6,35673102687723752419/1458000000,6646695516492431/97200000,46204605652071071/1458000000
7,7127303166983391609601/7290000000,267643169821800115741/43740000000,20165667601860828941/14580000000
8,25074527061623692681497017/656100000000,70659679997414182779587/164025000000,34708968532201339967/656100000
9,7051054714711008821570505193/4920750000000,527877089790266980903761157/19683000000000,12146976079587122943200741/6561000000000
10,7771271684969588874728818721617/147622500000000,98061225429543733697140528883/65610000000000,28153927149162391481472671659/472392000000000
